Timestamp,Type,Severity,Source_IP,Destination_IP,Description
2025-08-11T12:37:49.501197,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:8d92:e632:f4d9:5a1:6811:180e,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:49.555767,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:8d92:e632:f4d9:5a1:6811:180e,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:49.612411,PAYLOAD_COMMAND_INJECTION,HIGH,64:ff9b::c7e8:66d9,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:50.284244,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:37:50.284244,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:50.404683,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:50.468354,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:50.468354,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:50.570902,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:50.626667,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:50.674121,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:50.737763,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:50.797799,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
